1004293:0	none	FOOD#QUALITY	Judging from previous posts this used to be a good place, but not any longer.
1004293:0	none	SERVICE#GENERAL	Judging from previous posts this used to be a good place, but not any longer.
1004293:0	negative	RESTAURANT#GENERAL	Judging from previous posts this used to be a good place, but not any longer.
1004293:0	none	AMBIENCE#GENERAL	Judging from previous posts this used to be a good place, but not any longer.
1004293:0	none	FOOD#STYLE_OPTIONS	Judging from previous posts this used to be a good place, but not any longer.
1004293:0	none	RESTAURANT#MISCELLANEOUS	Judging from previous posts this used to be a good place, but not any longer.
1004293:0	none	FOOD#PRICES	Judging from previous posts this used to be a good place, but not any longer.
1004293:0	none	RESTAURANT#PRICES	Judging from previous posts this used to be a good place, but not any longer.
1004293:0	none	DRINKS#QUALITY	Judging from previous posts this used to be a good place, but not any longer.
1004293:0	none	DRINKS#STYLE_OPTIONS	Judging from previous posts this used to be a good place, but not any longer.
1004293:0	none	LOCATION#GENERAL	Judging from previous posts this used to be a good place, but not any longer.
1004293:0	none	DRINKS#PRICES	Judging from previous posts this used to be a good place, but not any longer.
1004293:1	none	FOOD#QUALITY	We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.
1004293:1	negative	SERVICE#GENERAL	We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.
1004293:1	none	RESTAURANT#GENERAL	We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.
1004293:1	none	AMBIENCE#GENERAL	We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.
1004293:1	none	FOOD#STYLE_OPTIONS	We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.
1004293:1	none	RESTAURANT#MISCELLANEOUS	We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.
1004293:1	none	FOOD#PRICES	We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.
1004293:1	none	RESTAURANT#PRICES	We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.
1004293:1	none	DRINKS#QUALITY	We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.
1004293:1	none	DRINKS#STYLE_OPTIONS	We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.
1004293:1	none	LOCATION#GENERAL	We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.
1004293:1	none	DRINKS#PRICES	We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.
1004293:2	none	FOOD#QUALITY	They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.
1004293:2	negative	SERVICE#GENERAL	They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.
1004293:2	none	RESTAURANT#GENERAL	They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.
1004293:2	none	AMBIENCE#GENERAL	They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.
1004293:2	none	FOOD#STYLE_OPTIONS	They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.
1004293:2	none	RESTAURANT#MISCELLANEOUS	They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.
1004293:2	none	FOOD#PRICES	They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.
1004293:2	none	RESTAURANT#PRICES	They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.
1004293:2	none	DRINKS#QUALITY	They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.
1004293:2	none	DRINKS#STYLE_OPTIONS	They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.
1004293:2	none	LOCATION#GENERAL	They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.
1004293:2	none	DRINKS#PRICES	They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.
1004293:3	negative	FOOD#QUALITY	The food was lousy - too sweet or too salty and the portions tiny.
1004293:3	none	SERVICE#GENERAL	The food was lousy - too sweet or too salty and the portions tiny.
1004293:3	none	RESTAURANT#GENERAL	The food was lousy - too sweet or too salty and the portions tiny.
1004293:3	none	AMBIENCE#GENERAL	The food was lousy - too sweet or too salty and the portions tiny.
1004293:3	negative	FOOD#STYLE_OPTIONS	The food was lousy - too sweet or too salty and the portions tiny.
1004293:3	none	RESTAURANT#MISCELLANEOUS	The food was lousy - too sweet or too salty and the portions tiny.
1004293:3	none	FOOD#PRICES	The food was lousy - too sweet or too salty and the portions tiny.
1004293:3	none	RESTAURANT#PRICES	The food was lousy - too sweet or too salty and the portions tiny.
1004293:3	none	DRINKS#QUALITY	The food was lousy - too sweet or too salty and the portions tiny.
1004293:3	none	DRINKS#STYLE_OPTIONS	The food was lousy - too sweet or too salty and the portions tiny.
1004293:3	none	LOCATION#GENERAL	The food was lousy - too sweet or too salty and the portions tiny.
